K = [70.936409 -34.596204 0.676527 -0.451436], stx = 8.470358, sta = 8.524663, osx = 52.852818, osa = 70.923962, intsqrx = 0.005284, intsqra = 0.017605 
K = [31.701642 -9.202091 27.321963 -37.961509], stx = 29.983084, sta = 29.987251, osx = 24.458584, osa = 100.353292, intsqrx = 0.095134, intsqra = 0.086558 
K = [70.945673 -34.611585 0.670554 -0.453250], stx = 7.493030, sta = 8.549793, osx = 44.971445, osa = 99.676759, intsqrx = 0.004034, intsqra = 0.012494 
K = [70.945673 -34.611585 0.670554 -0.453250], stx = 6.102070, sta = 7.234565, osx = 19.243918, osa = 58.574314, intsqrx = 0.001106, intsqra = 0.002470 
K = [70.945673 -34.611585 0.670554 -0.453250], initial cond = [0.100000 0.043109 0.000000 0.000000] stx = 7.437779, sta = 8.544937, osx = 38.689939, osa = 182.242350, intsqrx = 0.003146, intsqra = 0.009057 
K = [84.573617 -39.819436 18.453463 -10.314047], initial cond = [0.100000 -0.065384 0.000000 0.000000] stx = 7.514283, sta = 10.910562, osx = 20.795825, osa = 66.353529, intsqrx = 0.003123, intsqra = 0.003196 
K = [0.000000 0.000000 0.000000 0.000000], initial cond = [0.100000 -0.021680 0.000000 0.000000] stx = 29.993156, sta = 5.590600, osx = 376.187046, osa = 58.376553, intsqrx = 0.299827, intsqra = 0.000186 
K = [31.701642 -9.202091 27.321963 -37.961509], initial cond = [0.100000 0.017131 0.000000 0.000000] stx = 29.985982, sta = 29.989276, osx = 34.787966, osa = 208.631055, intsqrx = 0.069555, intsqra = 0.061677 
K = [29.840990 -14.181434 2.701788 -4.074684], initial cond = [0.100000 -0.067494 0.000000 0.000000] stx = 7.687989, sta = 11.089807, osx = 21.454612, osa = 63.672400, intsqrx = 0.003454, intsqra = 0.003094 
K = [10.575737 -2.169892 -1.248167 -1.595706], initial cond = [0.100000 0.036270 0.000000 0.000000] stx = 6.655396, sta = 10.782815, osx = 12.997592, osa = 175.652127, intsqrx = 0.003718, intsqra = 0.005215 
K = [10.575700 -2.169900 -1.248202 -1.595701], initial cond = [0.100000 -0.003153 0.000000 0.000000] stx = 5.817351, sta = 10.857848, osx = 9.848249, osa = 1497.779853, intsqrx = 0.003867, intsqra = 0.003224 
K = [12.564893 -2.522371 -2.987181 -0.340863], initial cond = [0.100000 0.035737 0.000000 0.000000] stx = 3.612767, sta = 5.426128, osx = 17.431803, osa = 230.432005, intsqrx = 0.002732, intsqra = 0.006835 
K = [10.575700 -2.169900 -1.248202 -1.595701], initial cond = [0.100000 -0.010248 0.000000 0.000000] stx = 5.830037, sta = 10.860104, osx = 9.459291, osa = 445.026520, intsqrx = 0.003906, intsqra = 0.003030 
K = [32.728834 -6.715923 0.051615 0.019932], initial cond = [0.100000 -0.006207 0.000000 0.000000] stx = 3.479260, sta = 5.287970, osx = 15.535087, osa = 1619.828102, intsqrx = 0.001738, intsqra = 0.006513 
K = [41.379500 -9.510900 1.650200 0.059500], initial cond = [0.100000 -0.092431 0.000000 0.000000] stx = 3.329307, sta = 5.187233, osx = 10.624859, osa = 71.681489, intsqrx = 0.001312, intsqra = 0.002934 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.093908 0.000000 0.000000] stx = 2.406934, sta = 3.923991, osx = 8.040751, osa = 100.772306, intsqrx = 0.000872, intsqra = 0.003077 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.073252 0.000000 0.000000] stx = 2.571216, sta = 4.145191, osx = 9.050192, osa = 145.511889, intsqrx = 0.000939, intsqra = 0.003885 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.004427 0.000000 0.000000] stx = 2.820131, sta = 4.472624, osx = 12.062395, osa = 3299.145769, intsqrx = 0.001214, intsqra = 0.007894 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.026883 0.000000 0.000000] stx = 2.555960, sta = 3.940754, osx = 13.489953, osa = 313.476256, intsqrx = 0.001337, intsqra = 0.008807 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.091694 0.000000 0.000000] stx = 29.994604, sta = 29.995828, osx = 25.385640, osa = 163.648376, intsqrx = 0.004053, intsqra = 0.027339 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.112942 0.000000 0.000000] stx = 29.989317, sta = 29.995078, osx = 11.723592, osa = 78.817110, intsqrx = 0.001426, intsqra = 0.006133 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.043109 0.000000 0.000000] stx = 29.987839, sta = 29.992753, osx = 237.282180, osa = 2835.247073, intsqrx = 0.225555, intsqra = 5.676865 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.015938 0.000000 0.000000] stx = 29.989316, sta = 29.993406, osx = 17.589969, osa = 803.921124, intsqrx = 0.001910, intsqra = 0.011538 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.065384 0.000000 0.000000] stx = 3.252642, sta = 29.976284, osx = 10.187646, osa = 167.394348, intsqrx = 0.000995, intsqra = 0.004135 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.021680 0.000000 0.000000] stx = 10.150343, sta = 29.970798, osx = 11.044375, osa = 593.697035, intsqrx = 0.001140, intsqra = 0.006124 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.017131 0.000000 0.000000] stx = 3.458711, sta = 9.949468, osx = 14.228823, osa = 485.571219, intsqrx = 0.001313, intsqra = 0.008220 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.178920 0.000000 0.000000] stx = 4.167513, sta = 4.964182, osx = 20.884761, osa = 72.444027, intsqrx = 0.002244, intsqra = 0.021704 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.138472 0.000000 0.000000] stx = 29.989332, sta = 29.991715, osx = 21.913472, osa = 95.605486, intsqrx = 0.002504, intsqra = 0.020783 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.067494 0.000000 0.000000] stx = 11.944467, sta = 11.825610, osx = 26.630974, osa = 11.391363, intsqrx = 329.244718, intsqra = 793.155371 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.151746 0.000000 0.000000] stx = 12.689866, sta = 12.556331, osx = 7.344309, osa = 27.499508, intsqrx = 83.704113, intsqra = 1169.825599 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.026883 0.000000 0.000000] stx = 12.691345, sta = 12.557392, osx = 7.413234, osa = 27.738777, intsqrx = 83.707610, intsqra = 1170.146051 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.091694 0.000000 0.000000] stx = 12.694612, sta = 12.563493, osx = 7.481779, osa = 27.669703, intsqrx = 83.696778, intsqra = 1169.748885 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.026883 0.000000 0.000000] stx = 12.691345, sta = 12.557392, osx = 7.413234, osa = 27.738777, intsqrx = 83.707610, intsqra = 1170.146051 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.091694 0.000000 0.000000] stx = 12.694612, sta = 12.563493, osx = 7.481779, osa = 27.669703, intsqrx = 83.696778, intsqra = 1169.748885 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.043109 0.000000 0.000000] stx = 29.986190, sta = 29.986503, osx = 10602.770812, osa = 453.310591, intsqrx = 0.203535, intsqra = 0.044991 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.015938 0.000000 0.000000] stx = 29.986338, sta = 29.987040, osx = 10491.256047, osa = 1399.653067, intsqrx = 0.203278, intsqra = 0.041595 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.065384 0.000000 0.000000] stx = 29.986719, sta = 29.988864, osx = 10205.181954, osa = 381.489482, intsqrx = 0.202579, intsqra = 0.032095 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.021680 0.000000 0.000000] stx = 29.986505, sta = 29.987824, osx = 10362.557603, osa = 1133.844028, intsqrx = 0.202956, intsqra = 0.037047 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.017131 0.000000 0.000000] stx = 29.986315, sta = 29.987000, osx = 10508.395593, osa = 1277.626828, intsqrx = 0.203294, intsqra = 0.041743 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.178920 0.000000 0.000000] stx = 29.985561, sta = 29.984583, osx = 11073.331294, osa = 122.322084, intsqrx = 0.204892, intsqra = 0.063044 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 0.138472 0.000000 0.000000] stx = 29.985745, sta = 29.985043, osx = 10936.105600, osa = 151.399105, intsqrx = 0.204460, intsqra = 0.057502 
K = [71.507500 -10.814800 6.076500 2.234900], initial cond = [0.100000 -0.066881 0.000000 0.000000] stx = 29.984026, sta = 29.987894, osx = 5534.376107, osa = 301.924038, intsqrx = 0.202566, intsqra = 0.035880 
